path,pattern,classification
CHANGES_PASSE2.md,openai_like,test_fixture_or_placeholder
api-server/Makefile,openai_like,test_fixture_or_placeholder
api-server/.env.development.example,openai_like,test_fixture_or_placeholder
api-server/run_tests.sh,openai_like,test_fixture_or_placeholder
api-server/run_regression.sh,openai_like,test_fixture_or_placeholder
autocommerce-app/package-lock.json,openai_like,test_fixture_or_placeholder
autocommerce-app/public/slide_coiffure.jpg,openai_like,test_fixture_or_placeholder
api-server/tests/test_plan_a_invoicing.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_llm_gateway.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_audit_log.py,jwt_like,test_fixture_or_placeholder
api-server/tests/test_paymee_checksum.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_tax_service.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_paymee_provider.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_uploads_invoices.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_message_queue.py,openai_like,test_fixture_or_placeholder
api-server/tests/conftest.py,openai_like,test_fixture_or_placeholder
api-server/tests/conftest.py,aws_access_key,test_fixture_or_placeholder
api-server/tests/test_promotions_service.py,openai_like,test_fixture_or_placeholder
api-server/tests/test_ai_agent_fsm.py,openai_like,test_fixture_or_placeholder
api-server/tests/conftest_unit.py,openai_like,test_fixture_or_placeholder
api-server/tests/conftest_unit.py,aws_access_key,test_fixture_or_placeholder
api-server/tests/integration/conftest.py,openai_like,test_fixture_or_placeholder
api-server/tests/integration/conftest.py,aws_access_key,test_fixture_or_placeholder
api-server/tests/security/test_p0_p1_enterprise_controls.py,openai_like,test_fixture_or_placeholder
